景點名稱,AreaCode,地址,景點介紹
"迎曦門","10018010","新竹市東門街中正路交叉口","迎曦門（東門城）是竹塹城僅存的城樓，為國定古蹟。迎曦門城樓下段稱為城座，以條形花崗石石塊疊砌而成，城門洞為圓拱形，是城市的出入口；上層城樓原為木構造建築，現已改為混泥土造，城樓結構共二十四根立柱，屋頂部分為歇山重簷式構造，屋脊的起翹短而有力，以顯示威武的氣氛，城門前豎有石碑一座，為竹塹築成歷史的紀錄，城門前的廣場又稱「新竹之心」，為一個結合傳統與現代科技的市民廣場，是新竹文化的象徵地標。"
"護城河","10018010","新竹市區林森路至世界街口","新竹市護城河從火車站經東門城到世界街，全長約800公尺，寬約56公尺的護城河是台灣僅存城門與護城河原址保留的珍貴歷史風貌，河畔周邊充滿人文氣息，與舒適的綠意步道，沿著河畔可漫遊市區欣賞日據時期古建築群。"
"新竹公園","10018010","新竹市東大路一段2號","新竹公園佔地18公頃，舊稱中山公園，又名公二公園，創建於西元1916年。新竹公園距離火車站只有十分鐘的路程，是新竹市民休閒運動的最佳去處，公園內綠樹成蔭，蒼松翠柏，還有玻璃工藝博物館、玻璃工坊、麗池、湖畔料亭、大沙坑、體育館、田徑場等，兼具休閒、運動、人文、歷史機能。"
"新竹市立動物園","10018010","新竹市博愛街111號","新竹市立動物園創園於1936年，為全台現址最老也最迷你的動物園，也是新竹市充滿著歷史記憶重要的休憩地點。108年底改建後的動物園擁有兩大核心目標，首先是以動物生活福祉為優先，除了打造類棲地環境，讓動物生活場域更寬廣，動線設計也以「不打擾動物」為原則；第二，則是讓園區成為最適合親子的「生命教育場域」，讓新竹市不只有一群快樂的動物，更有一群友善動物的可愛市民。"
"新竹漁港","10018020","新竹市北區、頭前溪出海口南側","新竹南寮漁港最早位於現在舊漁港的十七公里海岸所在地，因流砂淤塞遷移而另建新港，舊漁港至今仍保留製冰廠及漁船出海時的加冰設備。漁港內聚集海味珍饌的地方是新竹漁港直銷中心，隨著季節捕獲的當令海鮮天天上岸，吸引人潮品嚐海鮮、購買漁獲。"
"中央公園","10018010","新竹市東大路與中央路口","中央公園獨特親子遊樂空間，非罐頭化遊樂設施，包括「地景式溜滑梯」及「碗狀型可躺式盪鞦韆」等，保留許多市民難忘的共同回憶─磨石子溜滑梯，新舊融合，期盼爸媽帶著孩子們來玩時，也能回味自己的童年時光。"
"香山濕地","10018030","新竹市西濱快速道路風情海岸","香山濕地生態豐富，是台灣沿海招潮蟹族群最繁盛的泥灘濕地，孕育大量蝦、蟹、螺、貝而吸引大批水鳥覓食棲息，也是西伯利亞鳥類遷徙的必經之處之一。香山潮間帶1996年在國際拉姆薩公約組織會議中被正式列為「東亞水鳥保護網棲息地」一環，更是國際鳥盟指名重要的野鳥保育棲地，並於2001年公告為新竹市濱海野生動物保護區，2013年公告為國家級重要濕地。香山也是北台灣最大的蚵場，更是台灣牡蠣養殖的北限，一望無際的濕地遠處可見成列的風力發電風車，傍晚落日霞光映照，是絕美景色。"
"金城湖賞鳥區","10018030","新竹市海埔路右轉直行可抵金城橋","金城湖是客雅溪出海口北岸的半天然湖，潮間帶有著豐富的海濱生物，吸引鳥類到此覓食，周圍茂密森林，提供鳥類隱蔽的空間，湖中央的兩塊沙洲就成了鳥類棲息的場所。遇到漲、退潮時，鳥類雲集停歇覓食，是港南最重要的賞鳥據點。"
"港南運河公園","10018030","新竹市海埔路600號","港南運河風景區於民國76年設立，為了重新吸引市民來到優質水岸空間，市府於107年以生態第一優先、景觀再造、親水環境等三大目標，推動「港南運河親水再造計畫」。園區北側景觀區營造為兒童天堂，導入攀爬網、平衡木等特色共融遊具；南側則打造休閒臨水散步道並設置親水木平台，更有無邊際觀夕平台，讓民眾眺望美麗夕陽及海景。區內並設自行車驛站，及兒童滑步車區，更貼心設置家長休息區及洗腳區，讓大小朋友都能盡情遊玩放鬆。"
"新竹市美術館","10018010","新竹市中央路116號","1920年，日本政府改正地方制度，於新竹州新竹郡管轄的新竹街(現新竹市)設置新竹街役場；原街役場設於郡役所內，直至1925年才建成，今日的新竹市美術館於焉誕生。本館歷經多次轉型：1930年，新竹街升格為新竹市，新竹街役場也更名為「新竹市役所」(類似今日的市政府)；1991年成為新竹市戶政事務所，並於2001年公告為市定古蹟。為活化古蹟再利用，2004年起，經新竹市政府3年整修後，於2007年定名為「新竹市美術館暨開拓館」；2016年再經轉型成為當代藝術展覽空間，即現今的「新竹市美術館」，期許為新竹市帶來更多藝術氣息。"
"影像博物館","10018010","新竹市中正路65號","1933年啟用的國民戲院，昔稱「新竹市營有樂館」，建築形式融合羅馬與阿拉伯風格，牆面裝飾幾何圖形和花草圖紋，為早期鋼構建物，整建後蛻變為台灣第一座以電影為主題的影像博物館。"
"消防博物館","10018020","新竹市中山路4號","建於1937年，六層樓高的瞭望台是當時全新竹市最高的建築，消防員從瞭望台判定失火地點，再利用傳聲筒通知消防員，頂樓還有用來通知的古消防警鐘。消防博物館展示消防文物與歷史，也是防火救災的教育功能展示體驗區。(因進行古蹟修復級展設更新，休館至114年12月31日)"
"辛志平校長故居","10018010","新竹市東門街32號","辛志平為新竹中學校長，校長故居是日式建築，建築四周圍繞著庭園，有著日本大正中期官舍和洋折衷風格，室內空間自玄關、走廊與室內起居室、書房等井然有序。校長故居原已頹圮，整修後開放供民眾參觀，是文青新據點。"
"國立新竹高中劍道館","10018010","新竹市學府路36號","劍道館建於1926年，是台灣現存武道場中唯一採洋式風格，為磚造木構雙折瓦頂的建築，山牆面呈現高聳的尖形山峰，牆面是清水磚，仿造西式建築的扶壁作法，透過外凸的磚柱，將屋頂的重量引導到地面，雖經修建但仍可見當年典雅風格。"
"台灣菸酒公司新竹營業所","10018010","新竹市東門街59號","台灣菸酒公司新竹營業所日治時期稱為「臺灣總督府專賣局新竹支局」，前身是「台北專賣支局新竹出張所」，1935年完工，建築本體受到現代主義影響，強調水平線條，裝飾優雅，迥異於繁複的巴洛克式，在當時是非常前衛的設計風格。"
"香山天后宮","10018030","新竹市中華路五段420巷191號","香山天后宮奉祀天上聖母，是本地漁民信仰中心，整建於1825年(清道光5年)，1876年（清光緒2年）重建竣工，地方人士敬獻的「靈昭海國」的匾額，至今仍懸掛正殿。1924年(大正13年)再度重修落成，三川殿前的石雕構件古樸，雕刻手法反映大正年間時代特色，殿內古匾額和壁飾也傳承人文風華，為見證香山地區信仰之文化資產，已登錄為歷史建築。"
"朝山陸橋","10018030","香山天后宮前方","朝山陸橋也是個美麗的景點，這個陸橋橫跨西濱公路，連結朝山社區與香山濕地，陸橋的外觀很特別，是一個類似船型的陸橋，陸橋又有個綽號叫鹹魚翻身，看起來像魚又像船。在陸橋上面，社區的風光一覽無疑，在面向大海的方向，沿岸有巨大的風力發電機與廣大的溼地，風景真的很漂亮，新竹最有名的香山夕照，就是在這個景點上。"
"外媽祖長和宮","10018020","新竹市北區北門街135號","建於清乾隆7年，位在竹塹城北門外，所以稱為外媽祖廟或外天后宮。長和宮各部裝飾十分用心，其中三川殿的牆堵石雕仍為清朝原件，所供奉的媽祖為關節四肢可以活動的「軟身神像」，頭上所鑲頭髮，相傳即為媽祖真髮。"
"水仙宮","10018020","新竹市北區北門街135號","水仙是海洋之神，夏禹就是水仙尊王，原來奉祀在長和宮的後殿，清同治5年時在長和宮左側修建水仙宮，水仙宮韻致高雅，三川殿步口簷柱為方形石柱，步口員光是書卷形式，步口通樑上是獅座，雕刻線條流暢，手藝精良。"
"關帝廟","10018010","新竹市東區關帝里南門街109-1號","清乾隆42年所建，主祀關聖帝君，配祀文昌帝君，廟宇建築裝飾簡樸，不僅沒有龍柱，大門口也以一對石鼓代替石獅子，更特別的是關帝廟具官廟性質，所以廟門不繪門神而是用門釘，每逢考季學子前來祈求考運亨通，絡繹不絕。"
"竹蓮寺","10018010","新竹市竹蓮街100號","創建於清乾隆46年，當地人稱為觀音亭，寺中主要奉祀三尊觀世音菩薩，其中最小尊的三媽已有300多年歷史。竹蓮寺建築風格以閩式建築為主，廟頂及廟樑採用玻璃剪黏拼貼各種麒麟與龍身，全寺莊嚴細膩，深具藝術及保存價值。"
"天公壇","10018020","新竹市中山路431巷36號","最早興建於清乾隆年間，1913年由本地士紳等眾募集銀錢重建，原稱金闕殿。新竹天公壇擁有二百多年歷史，是台灣少數主祀玉皇大帝的道教廟宇。正殿主祀玉皇大帝，配祀有：三官大帝、五榖先帝、托塔李天王、文昌帝君等神明。"
"普天宮","10018010","新竹市高峰路306巷66號","位於寺廟林立的新竹古奇峰，「古奇遠眺」是新竹八景之一，高120公尺的關公神像是名聞遐邇的地標。主要奉祀玉皇大帝與關聖帝君，寺內同時也是宗教歷史文物館，包含武聖關公歷史館、中日古董樓、古董木眠床等。"
"開台金山寺","10018010","新竹市東區仙水里金山201號","金山寺是三級古蹟，建於清咸豐3年，建築風格古樸，主建物是清朝中期的建築，單進三開間帶左右護龍，正殿和左廂房至今仍保持舊有建物，濃厚的常民歷史感有別於其他廟宇的風格。"
"北大教堂","10018020","新竹市北區中正路156號","北大教堂，1957年落成是天主教的信仰中心。建築近似哥德式，以凸顯接近天堂上升的形式為概念隨處可見向上概念的尖形線條。"
"孔廟","10018010","新竹市東區新竹公園","原為淡水廳儒學學宮，清嘉慶23年起文廟開考入學，新竹學子終於擁有自己的學堂。新竹孔廟在清代時為官廟，大門不繪製門神，而是以門釘為防禦。"
"玻璃工藝博物館","10018010","新竹市東區東大路一段2號","座落於新竹公園，原是建於1936年的日本自治會館，建築物採用仿歐式庭院風格，結合日式的典雅樸實，呈現東西融合的古典浪漫意象。1999年改建為新竹玻璃工藝博物館，展示新竹玻璃工藝製品。"
"新竹生活美學館","10018020","新竹市武昌街110號","建於1921年之後，主體建物是日治時期公會堂建築，兩側柱列相當精緻，東側外廊道保存迴廊拱圈，融合臺灣傳統建築與西方設計手法。自新竹公會堂至今日的美學館，均常態舉辦藝文，長期提供美學教育，深具歷史意義。"
"新竹眷村博物館","10018020","新竹市東大路二段105號","常態性展示並保存眷村生活用品與文物，重現眷村生活的小角落。入口大門以眷村紅門白線的傳統造形設計，廣場展示著空軍軍用飛機副油箱水塔，館內展示眷村歷史、生活情境，與文化特展，走一趟博物館等於重新認識了眷村生活文化。"
"黑蝙蝠中隊文物陳列館","10018020","新竹市東大路二段16號","黑蝙蝠中隊是1952年美國中央情報局在台工作站「西方公司」與空軍的合作，1953年部隊遷至新竹基地，1958年開始稱為「黑蝙蝠中隊」。文物館內重現了大時代的故事，述說當時的任務與歷史、殉難的英雄，以及黑蝙蝠實體文物。"
"新竹鐵道藝術村","10018010","新竹市花園街64號","原來是台鐵建於民國30年新竹站的3-5號倉庫，濃濃的日式風格，從閒置空間廢棄角落結合舊倉庫的記憶，走出當代藝文空間的時代意義。藝術村內擁有展演廳，開放藝術家駐村、展覽或活動策辦，是欣賞藝術的交流平台。"
"春池觀光玻璃工廠","10018030","新竹市香山區牛埔南路372號","原本是傳統的玻璃製造廠，在政府的協助下成為一座體驗玻璃文化的觀光工廠。只要事先預約，即可在老師傅帶領下，在高溫的電極式熔爐綠能廠區，觀賞師傅現場製作吹製玻璃，領略新竹玻璃的魅力。"
"康樂農村文物陳列館與輕便車道","10018020","新竹市東大路三段335巷31號","康樂社區昔時為康榔庄，是日據時期州道及輕便軌道途中要道，里民提供舊時家傳文物與生活器物，成立了文物陳列館，重現當年生活光景。康樂里至今仍保留有「輕便車」，如今軌跡多數已湮沒，但康樂里還重新架設一小段重現舊回憶。"
"科學園區探索館","10018010","新竹市科技五路1號","科學園區探索館主要展示台灣高科技產業、科學園區發展歷程相關文物，讓民眾了解竹科從早期的王安電腦，到現今區內產業軌跡。探索館常態展示以園區發展史、台灣產業、科技相關文物等為主，而特展區則規劃近期產業趨勢，如雲端設計、新式平板等設計產品。想要了解竹科從過去的蔗田、茶園，到如今點矽成金的歷程，探索館歡迎以預約方式由館內安排解說員。"
"李克承博士故居","10018010","新竹市勝利路199號","李克承先生是新竹第一位醫學博士，懸壺濟世五十年，備受各方讚譽。李克承博士故居約興建於1943年間，是日本傳統和式建築，但採用現代主義建築流行風格，多由線條構成簡潔的圖樣系統，且具備歷史人物空間特色，是具代表性及地方特色之文化資產價值。"
"槺榔驛","10018020","新竹市北區東大路三段430巷23號","這木造的小車站與古輕便車道為日治時期所建，昔日運送貨物的任務已被時代所汰換，如今遊客搭上古輕便車慢慢繞著槺榔庄前行，沿途會經過民宅，欣賞大自然風光與田園樂活氣息。"
"新竹綠園道","10018020","新竹市東區沿經國路自民主路至東大路段","1公里長的新竹綠園道，分為三期改造而成，保留大量綠地草皮供市民親近綠環境，另打造適合各年齡層同遊的休閒環境，於第二期東大、民權路段設置碗公型磨石子溜滑梯與攀爬區，碗公型溜滑梯遠看如同一個大大的微笑，也可稱為「微笑溜滑梯」。新竹綠園道從原本僅2公尺寬的人行道拓寬為6公尺，並重新整理動線、梳理樹林，自然光線散落在林蔭步道間，讓整體視覺更加明亮、通透，更運用巧思，運用街角空間設置活動廣場，以各式遊具點綴在綠廊間，讓市民朋友與大自然的關係更加緊密。"
"東大飛行公園","10018020","新竹市東大路二段16號旁","東大飛行公園以黑蝙蝠中隊執行任務的特點為設計主題，規劃入口意象、飛行記事、星空航道、夢想之翼、飛行廣場、聽見夢想與新月椅等7大裝置藝術，如：以弧形鋼板鏤空的「星空航道」，營造出日夜光線撒落的光影、以長條鋼板打造「夢想之翼」雷射切割出飛機線條，營造飛機翱翔於蒼穹意象，讓東大飛行公園成為歷史與遊憩兼具的城市綠地。"
"樹林頭公園","10018020","新竹市東大路二段544-594號","樹林頭公園位於東大路二段，面積有二點八公頃，民國九十五年前為國防部5、6、7空軍眷村，眷村拆除後閒置約十年，民國一〇四年十二月，市政府完成綠美化工程，讓原本的荒地成為市民休憩散步的好去處。"
"海山漁港","10018030","新竹市香山區海山里西濱公路旁","海山漁港是新竹市唯二漁港，具備漁業與遊憩多功能，是漁民出海作業據點，沿岸蚵田分布，潮間帶生態、無敵海景和美麗夕陽，是家庭出遊的休閒勝地，"
"賞蟹步道","10018030","新竹市香山區中華路五段320巷55-1號","賞蟹步道長250公尺，沿著步道可欣賞弧邊招潮蟹、德氏仿厚蟹等十多種螃蟹，退潮時「萬蟹奔騰」景象更是壯觀。透過賞蟹步道，讓市民與溼地更親近。賞蟹步道設計的弧度和彎道是根據螃蟹出沒地點與時間，讓民眾站在步道上就能欣賞豐富多樣的螃蟹物種，還能觀察可愛的彈塗魚與美麗夕陽。"
"北門大街","10018020","新竹市北大路與中山路之間","竹塹舊城最繁榮的北門大街，包括華麗的巴洛克建築周益記，多家百年老店如繡妝行，佛具店，中藥店等，近年來也新興一些文青店家，為老街增添新創意。"
"東門市場","10018010","新竹市大同路86號","東門市場是新竹市第一座有手扶梯的建築物，在民國60年代，是新竹是最繁榮的賣場，但隨時代變遷及民眾消費習慣改變，東門市場逐漸沒落，近年來市府整合各項資源鼓勵青年進駐創業，目前已成立東門市場青年基地，民眾更能在市場裡覓得特色餐點、下午茶、咖啡以及異國料理，傳統產業互相激盪，為老市場注入新活力。"
"魚鱗天梯","10018020","新竹市南寮漁港臨海處","站在被網友們封為「魚鱗天梯」的護岸上，可以比過去更加靠近海灘，以魚鱗式的階梯取代傳統消波塊，打造出一片臨海特色觀海階梯，為近期非常受到民眾歡迎的拍照打卡區。漁港的堤防周邊必須做護坡工程，過去是使用俗稱「肉粽」的消坡塊堆疊，而市政府在新竹漁人碼頭的改造工程中採用自然原生大石塊做拋石護堤，並在拋石節點設置階梯型人工消坡塊，讓海堤身兼消波阻隔的功能外，也更加親近與休憩功能。"
"南寮旅服中心","10018020","新竹市南寮街261號","設置了更衣室與親子廁所，室內提供遊客舒適友善的諮詢與休息空間。並新規劃4座溜滑梯，其中室內一座13.5公尺長、2樓高，還有可俯瞰南寮無敵海景的觀景平台。"
"隆恩圳","10018010","新竹市沿三民路自民主路至東大路段","新竹市隆恩圳是台灣三大古圳之一，過去的隆恩圳將三民路「一分為二」，河道左右的聯通度相當低、居民的生活空間分割、往來受限，107年5月「隆恩圳景觀空間」正式完工，在兼顧生態環境考量下，架高平台、橋梁橫跨河面，除了滿足親子休閒的功能，也創造都市中供人步行、停留的環境，也讓水圳兩旁的巷道連結性更強，創造「大街串小巷」的親近生活感。"
"南港賞鳥區","10018030","從西濱快速道路84.1公里處轉往海邊方向","南港賞鳥區是一處小而美的生態區，一年四季都有不同候鳥進駐，寧靜的湖面經常可見小水鴨悠游其中。堤防內側的數個水塘，是由廢棄漁塭自然形成，已成為野鳥覓食後休憩的場所，因此也成為賞鳥的好去處。在新竹鳥會的調查紀錄資料中，這裡除了有大量的鷺科、燕科、文鳥科等鳥種出沒之外，秋冬交接時，還有數量可觀的雁鴨科鳥種，包括小水鴨、尖尾鴨、綠頭鴨等，而魚鷹、澤鵟、遊隼、紅隼等猛禽也偶而可見。"
"十七公里南港站","10018030","從西濱快速道路84.1公里處轉往海邊方向","「17公里南港站」新設無障礙空中步道和廁所，並保留原有的瞭望塔，讓民眾可以欣賞被網友封為「台版撒哈拉沙漠」且具有國家級生態濕地美名的香山沙丘。站上瞭望台可一次飽覽沙丘、夕陽、風車、海景四大景致，是17公里自行車道絕美隱藏版祕境！17公里南港站在不破壞棲地、不驚擾鳥類的前提下，打造親近自然的服務設施，將原有瞭望台重新粉刷成為自然色系的灰黑色、內部則為黃色，形成美麗的反差，也新設自行車停放廣場、無障礙觀景步道以及男女廁所。"
